,name,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12,category_13,category_14,category_15,category_16,category_17,category_18,category_19,category_20,category_21,incorporated,long description,company_website,link
189,MyCamper AG,ICT,Ecommerce,Internet,Marketplace,Social networks,,,,,,,,,,,,,,,,,April 2015,"MyCamper is the leading online sharing platform for camper in Switzerland and the fastest growing player in Europe. Since Dec. 2019, we are active in our first international market, Sweden. We want to revolutionize the market by opening it up to privately owned camper (campervans, motorhomes and caravans). On MyCamper you find a diverse offer of nostalgic VW buses to luxury motor homes for fair prices. Camper owners can easily create a camper-profile with few clicks and rent out their campervans to share costs and their passion. MyCamper receives a service fee for each booking and offers the comprehensive insurance solution by its partner Baloise",https://www.mycamper.ch,https://www.top100startups.swiss/myCamper
190,advaisor AG,ICT,Big Data,Consulting services,Human ressources,Machine Learning / AI,SaaS,Services for companies,Social networks,,,,,,,,,,,,,,January 2019,"advaisor AG is an ETH spin-off using Artificial Intelligence to measure and improve digital collaboration. The advaisor add-in for Microsoft Outlook & Word helps individuals to communicate better in the workplace and to improve the customer experience. The real-time system supports managers and employees to develop more self-aware behaviors, engagement, and optimism at work, which radiates positively onto clients. Furthermore, the startup uses AI to generate emotion-related big-data from the digital footprint at work to offer relevant and personalized solutions to information overflows, harmful negativity clusters, and work culture-related issues.",https://www.advaisor.io/,https://www.top100startups.swiss/advAIsor
191,Flyability SA,Robotics,Aviation and Aerospace,Drones,Electronics,Hightech,Interdisciplinary,Mechanics,Micro technologies,Robotics,,,,,,,,,,,,,September 2014,"Flyability is a Swiss company building solutions for the inspection and exploration of indoor, inaccessible, and confined spaces. By allowing drones to be used safely in the most complex indoor spaces, it enables industrial companies and inspection professionals to reduce downtime, inspection costs, and risks to workers. The company counts over 100 employees with offices in Lausanne, Denver and Singapore; and helps digitize the inspection tasks of over 900 customers for the inspection of Energy, Heavy Industries, Oil & Gas and Maritime assets.",http://www.flyability.com,https://www.top100startups.swiss/Flyability
192,Lunaphore Technologies SA,Medtech,Diagnostics,Instruments,Micro technologies,,,,,,,,,,,,,,,,,,April 2014,"Lunaphore is disrupting tissue diagnostics field by fundamentally changing the time and resource driven nature of diagnostic assays on tumor sections. Just like the fast sequencing technologies have made genomics testing possible for everybody today, Lunaphore will make possible an order-of-magnitude higher number of tissue biomarker checks for each tumor.",https://www.lunaphore.ch/,https://www.top100startups.swiss/Lunaphore
193,Ava AG,Medtech,Consumer products,Consumer,Digital Health,Diagnostics,Medical devices,Sensors,Medtech,SaaS,Tackle COVID-19,Software,Patient monitoring,Wearable technologies,,,,,,,,,September 2014,"Ava was founded in Switzerland in 2014 by Pascal Koenig, Philipp Tholen, Peter Stein, and Lea von Bidder. The company specializes in new developments in the field of medical technology related to reproductive health. Ava was voted startup of the year in Switzerland in both 2017 and 2018 and won the Swiss Medtech Award in 2018. The Ava bracelet is the firm's first product for the consumer market and uses state-of-the-art sensor technology together with clinically proven methods to pinpoint a woman's fertile days in real time.  Ava has received USD 42.6 million of funding to date and is based in Zürich, San Francisco, Hong Kong, and Makati.",http://www.avawomen.com,https://www.top100startups.swiss/Ava
194,Bestmile SA,ICT,Automotive,Cloud,Mobility,SaaS,Services for companies,Software,,,,,,,,,,,,,,,February 2014,"Bestmile is a technology company providing distributed and highly scalable cloud technology leveraging the full potential of autonomous vehicles to tackle global mobility challenges. Bestmile  empowers  mobility  providers  to  deploy,  manage  and  optimize  autonomous  and conventional driven vehicle fleets. Bestmile's cloud platform enables the intelligent operation and optimization  of  autonomous  mobility  services,  managing  fixed-route and on-demand  services regardless of the vehicle brand or type. Bestmile's on-demand  autonomous mobility service platform is being used daily in shared electric autonomous vehicles in pedestrian areas and open roads. Bestmile has global offices in San Francisco (USA) and Lausanne (Switzerland). Since its creation in 2014, Bestmile built a prov",https://bestmile.com/,https://www.top100startups.swiss/Bestmile
195,Advanon AG ,Fintech,Finance,Fintech,Enterprise,Internet,Marketplace,Services for companies,Software,,,,,,,,,,,,,,March 2015,"Advanon is an Online Platform for invoice financing for Small- and Medium Businesses. By selling invoices on our platform, companies can easily manage their cash flows in a quick and flexible way allowing them to focus on their core business.",http://www.advanon.com,https://www.top100startups.swiss/Advanon
196,Astrocast SA,Engineering,Aviation and Aerospace,Communications,Hightech,IoT,Wireless,,,,,,,,,,,,,,,,October 2014,"Astrocast is the first satellite operator from Switzerland. We are offering cost-effective bi-directional IoT communication services globally. We are connecting the 90% of the planet that is not covered by cellular or LPWAN networks. Our strategic partners are Airbus, the European Space Agency, Thuraya and the CEA/LETI.",https://www.astrocast.com/,https://www.top100startups.swiss/Astrocast
197,Polyneuron Pharmaceuticals AG,Biotech,Biotech,Drug development platforms,Drug discovery,Inflammation,Neurology,,,,,,,,,,,,,,,,December 2014,"Polyneuron develops a new drug class for the treatment of autoimmune diseases affecting the nervous system. There is a significant medical need for effective and safe therapies in this area. Our Antibody-Catch"" platform technology enables the rational design of immunomodulatory compounds which highly selectively eliminate disease-causing autoantibodies. The platform carries the potential to realize breakthrough therapies for specific autoimmune conditions.",http://www.polyneuron.com,https://www.top100startups.swiss/Polyneuron
198,Cellestia Biotech AG,Biotech,Biotech,Cancer,Drug development platforms,Drug discovery,Small molecule drugs,,,,,,,,,,,,,,,,November 2015,"Cellestia is a clinical-stage biopharma led by an experienced team of scientists, drug developers and business professionals.  VISION Cellestia is actively engaged in clinical development of first-in-class targeted therapeutics with untapped mode of action, to address unmet medical need in patients with oncology and immunological disorders. MISSION Develop CB-103, a novel, first-in-class, oral pan-NOTCH inhibitor with a unique mode of action for treatment of NOTCH dependent leukemias, lymphomas and solid tumors. HISTORY Cellestia Biotech AG was founded in 2014 as a spin-off from EPFL (Ecole Polytechnique Fédérale de Lausanne, Switzerland). Cellestia`s pipeline including lead candidate, oral small molecule CB-103 is based on proprietary know-how and more than two decade",http://www.cellestia.com,https://www.top100startups.swiss/Cellestia
